Year,Seed Stage Rounds,Early Stage Rounds,Late Stage Rounds,Total Funding,Number of Rounds,Total Number of Companies,total_Seed Stage Funding,total_Early Stage Funding,total_Late Stage Funding
2000.0,0.0,0.0,1.0,125918.0,1.0,26,0.0,0.0,125918.0
2001.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0
2002.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0
2003.0,1.0,0.0,0.0,19903.0,1.0,21,19903.0,0.0,0.0
2004.0,2.0,0.0,0.0,377583.0,2.0,20,377583.0,0.0,0.0
2005.0,4.0,0.0,0.0,3852371.0,4.0,26,3852371.0,0.0,0.0
2006.0,2.0,1.0,0.0,11392861.0,4.0,17,182413.0,1210448.0,0.0
2007.0,1.0,0.0,0.0,33504.0,1.0,33,33504.0,0.0,0.0
2008.0,3.0,4.0,0.0,11546171.0,7.0,21,2985471.0,8560700.0,0.0
2009.0,4.0,3.0,0.0,22394378.0,8.0,27,3506628.0,18887750.0,0.0
2010.0,3.0,1.0,1.0,22814740.0,5.0,49,1319740.0,20000000.0,1495000.0
2011.0,3.0,1.0,2.0,7638400.0,6.0,46,1132855.0,4922000.0,1583545.0
2012.0,3.0,6.0,3.0,69234401.0,14.0,50,2729779.0,27369000.0,30635622.0
2013.0,7.0,5.0,3.0,34894873.0,20.0,77,1554699.0,10576458.0,13538716.0
2014.0,14.0,5.0,2.0,70652830.0,27.0,85,5079516.0,50885110.0,12024953.0
2015.0,22.0,8.0,5.0,110550699.0,58.0,116,12557089.0,32965814.0,53403675.0
2016.0,31.0,11.0,5.0,130309035.0,74.0,126,35991314.0,35581983.0,40993781.0
2017.0,40.0,28.0,3.0,516047477.0,100.0,113,41447614.0,265481304.0,200022883.0
2018.0,47.0,39.0,3.0,641118762.0,115.0,107,53302209.0,544365787.0,30336998.0
2019.0,28.0,32.0,0.0,1006322906.0,94.0,125,16533570.0,940261500.0,0.0
2020.0,25.0,33.0,6.0,850267689.0,96.0,90,29199904.0,441107787.0,302710388.0
2021.0,45.0,37.0,18.0,4016932869.0,125.0,82,55865207.0,626044563.0,3325554074.0
2022.0,34.0,45.0,19.0,1534721733.0,107.0,63,60769476.0,772912260.0,611652575.0
2023.0,45.0,37.0,13.0,886584990.0,104.0,45,69211567.0,338570250.0,472914259.0
2024.0,32.0,31.0,10.0,2033235110.0,80.0,12,127773050.0,1348217781.0,522379524.0
